profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,rerank_signal_column,rerank_signal_weight,secondary_candidate_size,secondary_screen_mode,secondary_screen_weight,local_tiebreak_start_rank,local_tiebreak_end_rank,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,candidate_size,vol20_pct,vol5_pct,risk_penalty,case_slice_score,result_stock_ids,result_weight_sum,passes_case_floor,passes_cum_floor,passes_sharpe_floor,passes_drawdown_floor,guardrail_pass_count,failed_guardrails,passes_guardrails,used_drawdown_slack,attempted_drawdown_slacks
dual_cs120_v2086_v5100_rp-100_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-1.0,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.6818003977983138,0.590860387225572,0.009012716235278374,0.008080528192418368,0.025196679893694885,0.025266838878695998,-0.09668037916490091,-0.09916822159451122,2.5793724137150758,2.306165711545503,0.6166666666666667,0.6,5.0,5.0,4.9828659716884734e-14,0.9321880428600037,1.2643695378095374,0.7872797042310591,0.05593128257160022,120,0.86,1.0,-1.0,0.040557492515369956,601877/688396/600183/688008/300316,1.0,True,False,False,True,2,"cum,sharpe",False,0.06,"0.02,0.04,0.06,0.08"
dual_cs120_v2086_v5100_rp-80_risk_adjusted_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7441502901992847,0.6491352919064939,0.009647011828463907,0.008707114800839197,0.02610158987276713,0.026169467844540124,-0.09332800195130686,-0.09582765686268468,2.6651859884462104,2.399280647376789,0.65,0.6,5.0,5.0,2.960594732333751e-17,0.9398970276247092,1.263680566777844,0.7898434530394474,0.05639382165748255,120,0.86,1.0,-0.8,0.03883531648627474,688396/688008/600183/601877/300316,1.0,True,True,True,True,4,,True,0.06,"0.02,0.04,0.06,0.08"
dual_cs120_v2086_v5100_rp-60_risk_adjusted_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.6,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7401053635988404,0.6476826752881435,0.009594023217920895,0.008678901237650553,0.025562746342156776,0.025652876292445843,-0.08522847184740312,-0.08797464816061662,2.7064183313636274,2.439665873744673,0.65,0.6166666666666667,5.0,5.0,3.14563190310461e-17,0.9151219802703431,1.2037756806930895,0.8126022933213661,0.05490731881622059,120,0.86,1.0,-0.6,0.03883531648627474,688396/688008/600183/601877/300316,1.0,True,True,True,True,4,,True,0.06,"0.02,0.04,0.06,0.08"
dual_cs120_v2086_v5100_rp-100_risk_adjusted_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-1.0,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.6781743765232688,0.5866729653101461,0.008972460071093282,0.008032143029025515,0.025046862235686924,0.025111375132006734,-0.09332800195130686,-0.09582765686268457,2.5832109865871082,2.306548597260975,0.6333333333333333,0.6166666666666667,5.0,5.0,1.8010963091323143e-13,0.9403170420677648,1.2753048248193803,0.7852313337440211,0.05641902252406589,120,0.86,1.0,-1.0,0.03883531648627474,688396/688008/600183/601877/300316,1.0,True,False,False,True,2,"cum,sharpe",False,0.06,"0.02,0.04,0.06,0.08"
dual_cs150_v2086_v5100_rp-100_risk_adjusted_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-1.0,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.8662004621795196,0.7645863850228931,0.010803345290950747,0.009862666879078136,0.02673090717800155,0.026788686452695946,-0.12063037729192527,-0.12315618754795865,2.9143803563181176,2.654878297831427,0.6666666666666666,0.65,5.0,5.0,2.2204460492503132e-17,0.9406784118726061,1.297685425993952,0.7788576626041367,0.05644070471235637,150,0.86,1.0,-1.0,0.03853745056570249,688008/688396/600183/300316/601877,1.0,True,True,True,False,3,drawdown,False,0.06,"0.02,0.04,0.06,0.08"
dual_cs150_v2086_v5100_rp-60_risk_adjusted_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.6,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7781264551658453,0.6813379144678215,0.009978053970689812,0.00903864038390485,0.026351545810470133,0.02641905689165825,-0.09274039649536048,-0.09523683547643091,2.7304952414878714,2.467104067968333,0.65,0.5833333333333334,5.0,5.0,1.6653345369377347e-17,0.9394135867849618,1.257735197072131,0.7919776283717224,0.05636481520709772,150,0.86,1.0,-0.6,0.03853745056570249,688008/688396/600183/300316/601877,1.0,True,True,True,True,4,,True,0.06,"0.02,0.04,0.06,0.08"
dual_cs150_v2086_v5100_rp-80_risk_adjusted_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.762485190705132,0.665768942262265,0.009832991140286844,0.008885543392072565,0.026429687864985816,0.026484527048862658,-0.10310718707451971,-0.10557342857787921,2.6828431670172024,2.419320703848752,0.6166666666666667,0.5833333333333334,5.0,5.0,2.590520390792032e-17,0.9474477482142774,1.2757312466638164,0.789791375158,0.05684686489285665,150,0.86,1.0,-0.8,0.03853745056570249,688008/688396/600183/300316/601877,1.0,True,True,True,False,3,drawdown,False,0.06,"0.02,0.04,0.06,0.08"
dual_cs150_v2086_v5100_rp-50_risk_adjusted_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7255786889972011,0.6319340197105212,0.009453022655460363,0.008517257488428931,0.0255502780598392,0.025630231950618892,-0.0843201712395042,-0.08707912026624565,2.6679441853870456,2.3963426207009886,0.65,0.6166666666666667,5.0,5.0,1.6653345369377347e-17,0.9357651670314339,1.2441820514513906,0.797440037771291,0.05614591002188604,150,0.86,1.0,-0.5,0.03853745056570249,688008/688396/600183/300316/601877,1.0,True,True,True,True,4,,True,0.06,"0.02,0.04,0.06,0.08"
dual_cs180_v2086_v5100_rp-80_risk_adjusted_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.9970257959959492,0.8883218901703323,0.011953530506036517,0.011012025927398358,0.027036123304555786,0.02709065708348721,-0.12040314047739897,-0.1229263995788964,3.1882579226937584,2.931226363806069,0.6666666666666666,0.6333333333333333,5.0,5.0,3.515706244646329e-17,0.9415045786381612,1.2612886117781004,0.7970172248887377,0.05649027471828967,180,0.86,1.0,-0.8,0.03823051591198858,688008/300316/688396/600183/601877,1.0,True,True,True,False,3,drawdown,False,0.06,"0.02,0.04,0.06,0.08"
dual_cs180_v2086_v5100_rp-100_risk_adjusted_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-1.0,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.9342094976701476,0.8290635081939346,0.011425021094166588,0.010485169664686711,0.027420936955910954,0.027470217485969853,-0.12574987450027375,-0.12808342249877946,3.004528944033439,2.7524221005731713,0.6833333333333333,0.65,5.0,5.0,2.7755575615628914e-17,0.9398514294798791,1.2737684599017713,0.7925830323399882,0.056391085768792745,180,0.86,1.0,-1.0,0.03823051591198858,688008/300316/688396/600183/601877,1.0,True,True,True,False,3,drawdown,False,0.06,"0.02,0.04,0.06,0.08"
