profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,primary_candidate_size,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
grid_cs40_v2088_v588_tl2_th95_tr95_rp20_mt45,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.02,0.95,0.95,0.2,0.001,0.45,60,0.08381503114235511,0.054974754042950824,0.0013628741301306524,0.0009128741301306522,0.006424917797510101,0.006424917797510101,-0.03339397970509561,-0.04038471201129634,1.5296421566961607,1.024577928609826,0.5166666666666667,0.43333333333333335,5.0,5.0,0.02267904389659009,0.45,1.6634649670541097,0.27712834045214846,0.026999999999999996,40,103,False,191,False
grid_cs40_v2088_v590_tl2_th95_tr93_rp20_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.93,0.2,0.001,0.55,60,0.09022930485114711,0.054878446318640695,0.0014691589353717826,0.000919158935371783,0.007547611627778597,0.007547611627778597,-0.04204992069652491,-0.049752139857488276,1.403656715402059,0.8781783788626782,0.5,0.4666666666666667,5.0,5.0,0.013863969253686432,0.5499999999999999,1.6460203328003713,0.3430765028164745,0.033000000000000015,40,123,False,192,False
grid_cs45_v2088_v588_tl2_th95_tr95_rp25_mt50,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.02,0.95,0.95,0.25,0.001,0.5,60,0.08680365890865893,0.05471909625283766,0.0014085250183713796,0.000908525018371379,0.006373977234782567,0.006373977234782567,-0.036258335409196096,-0.04062975607130881,1.5935134342176884,1.0278460114053463,0.5166666666666667,0.45,5.0,5.0,0.01768786376816256,0.5,1.6368491964157823,0.31311123367960136,0.030000000000000002,45,203,False,193,False
grid_cs35_v2088_v588_tl2_th95_tr93_rp25_mt45,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.02,0.95,0.93,0.25,0.001,0.45,60,0.08352117500441603,0.054688613377968265,0.0013574649947877206,0.0009074649947877207,0.006282512830425177,0.006282512830425177,-0.03632878778680948,-0.04191577822287518,1.5581057374532565,1.0415932789028168,0.5,0.45,5.0,5.0,0.02253734844006506,0.45,1.6673160541135867,0.2764384548705757,0.026999999999999996,35,4,False,194,False
grid_cs40_v2088_v590_tl2_th95_tr95_rp20_mt50,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.95,0.2,0.001,0.5,60,0.08644897983077104,0.05437455020609239,0.0014083775991103808,0.0009083775991103806,0.007165167519320176,0.007165167519320176,-0.036883630530188616,-0.04520826912045739,1.4174065393768036,0.914201099205032,0.5,0.45,5.0,5.0,0.01782173534382928,0.5,1.6501402492458985,0.31076733815848284,0.030000000000000002,40,128,False,195,False
grid_cs35_v2088_v590_tl2_th95_tr93_rp20_mt50,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.93,0.2,0.001,0.5,60,0.08644168802117913,0.05436748005961278,0.0014079185867877677,0.0009079185867877675,0.007111863560461813,0.007111863560461813,-0.03938653656910873,-0.04607831668285556,1.427564691922312,0.9205876886641308,0.5,0.4666666666666667,5.0,5.0,0.01782739171187829,0.5,1.6541488739256367,0.3102970863544863,0.030000000000000002,35,26,False,196,False
grid_cs40_v2088_v588_tl2_th95_tr93_rp20_mt45,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.02,0.95,0.93,0.2,0.001,0.45,60,0.08284529452213185,0.05403043138129493,0.0013467334691341485,0.0008967334691341486,0.006231242744796684,0.006231242744796684,-0.035719193487549816,-0.041060043237020394,1.5585066338175873,1.0377443588079545,0.5,0.45,5.0,5.0,0.022617719879187606,0.45,1.6718200911070928,0.2756369791304311,0.026999999999999996,40,97,False,197,False
grid_cs35_v2088_v590_tl2_th95_tr93_rp25_mt50,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.93,0.25,0.001,0.5,60,0.08570794417510608,0.05365506307068002,0.0013959941379955076,0.0008959941379955075,0.0070208670897059285,0.0070208670897059285,-0.039956777130596866,-0.04696307245826681,1.4338196067462594,0.9202717458630234,0.5,0.4666666666666667,5.0,5.0,0.01780561120424229,0.5,1.6535804895641986,0.3100672299697183,0.030000000000000002,35,29,False,198,False
grid_cs35_v2088_v590_tl2_th95_tr95_rp20_mt45,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.95,0.2,0.001,0.45,60,0.08238360483960983,0.0535807420258827,0.001342569486664053,0.0008925694866640532,0.006691637334258018,0.006691637334258018,-0.0343487265814576,-0.041780268378555085,1.4467918338187573,0.9618587769561652,0.5166666666666667,0.43333333333333335,5.0,5.0,0.02278183407868374,0.45,1.6591766750552044,0.2781206539165246,0.026999999999999996,35,31,False,199,False
grid_cs45_v2088_v590_tl2_th95_tr93_rp25_mt50,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.93,0.25,0.001,0.5,60,0.08555319116081161,0.05350485955770479,0.001391844407848641,0.0008918444078486412,0.006763360557003928,0.006763360557003928,-0.04143998175315833,-0.046719200133808036,1.4839860562421807,0.9508854999321683,0.5,0.4666666666666667,5.0,5.0,0.01755252054704539,0.5,1.6433149131155387,0.312047506147078,0.030000000000000002,45,221,False,200,False
