label,primary_candidate_size,max_volatility_20d_pct,max_volatility_5d_pct,secondary_candidate_size,score_self_case_slice,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,delta_case_slice_score,delta_cumulative_return_after_cost,delta_sharpe_after_cost,delta_max_drawdown_after_cost
cs40_v2086_v596_ss20,40,0.86,0.96,20,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.7612811507926904,-0.004414738388754693,0.0,0.0,0.0
cs40_v2086_v597_ss0,40,0.86,0.97,0,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.7612811507926904,-0.004414738388754693,0.0,0.0,0.0
cs40_v2086_v597_ss15,40,0.86,0.97,15,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.7612811507926904,-0.004414738388754693,0.0,0.0,0.0
cs40_v2086_v597_ss20,40,0.86,0.97,20,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.7612811507926904,-0.004414738388754693,0.0,0.0,0.0
cs40_v2088_v595_ss0,40,0.88,0.95,0,-0.05253897310189442,0.8310167363467595,3.1634124887685005,-0.0587917374698689,0.7329214063394698,-0.036703931536803985,-0.10455488308570449,-0.466112796040997,-0.015898109382543095
cs40_v2088_v595_ss15,40,0.88,0.95,15,-0.05253897310189442,0.8310167363467595,3.1634124887685005,-0.0587917374698689,0.7329214063394698,-0.036703931536803985,-0.10455488308570449,-0.466112796040997,-0.015898109382543095
cs40_v2088_v595_ss20,40,0.88,0.95,20,-0.05253897310189442,0.8310167363467595,3.1634124887685005,-0.0587917374698689,0.7329214063394698,-0.036703931536803985,-0.10455488308570449,-0.466112796040997,-0.015898109382543095
cs40_v2088_v596_ss0,40,0.88,0.96,0,-0.05253897310189442,0.8198057859257157,3.142635501804408,-0.0587917374698691,0.7328960852736847,-0.036703931536803985,-0.1157658335067483,-0.48688978300508934,-0.015898109382543296
cs40_v2088_v596_ss15,40,0.88,0.96,15,-0.05253897310189442,0.8198057859257157,3.142635501804408,-0.0587917374698691,0.7328960852736847,-0.036703931536803985,-0.1157658335067483,-0.48688978300508934,-0.015898109382543296
cs40_v2088_v596_ss20,40,0.88,0.96,20,-0.05253897310189442,0.8198057859257157,3.142635501804408,-0.0587917374698691,0.7328960852736847,-0.036703931536803985,-0.1157658335067483,-0.48688978300508934,-0.015898109382543296
cs40_v2088_v597_ss0,40,0.88,0.97,0,-0.05253897310189442,0.8198057859257157,3.142635501804408,-0.0587917374698691,0.7328960852736847,-0.036703931536803985,-0.1157658335067483,-0.48688978300508934,-0.015898109382543296
cs40_v2088_v597_ss15,40,0.88,0.97,15,-0.05253897310189442,0.8198057859257157,3.142635501804408,-0.0587917374698691,0.7328960852736847,-0.036703931536803985,-0.1157658335067483,-0.48688978300508934,-0.015898109382543296
cs40_v2088_v597_ss20,40,0.88,0.97,20,-0.05253897310189442,0.8198057859257157,3.142635501804408,-0.0587917374698691,0.7328960852736847,-0.036703931536803985,-0.1157658335067483,-0.48688978300508934,-0.015898109382543296
cs45_v2084_v595_ss0,45,0.84,0.95,0,-0.03662548303151844,0.914226473560956,3.776761213494526,-0.0524907273760195,0.7786522858276602,-0.020790441466428007,-0.021345145871508042,0.14723592868502866,-0.009597099288693699
cs45_v2084_v595_ss15,45,0.84,0.95,15,-0.03662548303151844,0.914226473560956,3.776761213494526,-0.0524907273760195,0.7786522858276602,-0.020790441466428007,-0.021345145871508042,0.14723592868502866,-0.009597099288693699
cs45_v2084_v595_ss20,45,0.84,0.95,20,-0.03662548303151844,0.914226473560956,3.776761213494526,-0.0524907273760195,0.7786522858276602,-0.020790441466428007,-0.021345145871508042,0.14723592868502866,-0.009597099288693699
cs45_v2084_v596_ss0,45,0.84,0.96,0,-0.03662548303151844,0.914226473560956,3.776761213494526,-0.0524907273760195,0.7786522858276602,-0.020790441466428007,-0.021345145871508042,0.14723592868502866,-0.009597099288693699
cs45_v2084_v596_ss15,45,0.84,0.96,15,-0.03662548303151844,0.914226473560956,3.776761213494526,-0.0524907273760195,0.7786522858276602,-0.020790441466428007,-0.021345145871508042,0.14723592868502866,-0.009597099288693699
cs45_v2084_v596_ss20,45,0.84,0.96,20,-0.03662548303151844,0.914226473560956,3.776761213494526,-0.0524907273760195,0.7786522858276602,-0.020790441466428007,-0.021345145871508042,0.14723592868502866,-0.009597099288693699
cs45_v2084_v597_ss0,45,0.84,0.97,0,-0.03662548303151844,0.914226473560956,3.776761213494526,-0.0524907273760195,0.7786522858276602,-0.020790441466428007,-0.021345145871508042,0.14723592868502866,-0.009597099288693699
cs45_v2084_v597_ss15,45,0.84,0.97,15,-0.03662548303151844,0.914226473560956,3.776761213494526,-0.0524907273760195,0.7786522858276602,-0.020790441466428007,-0.021345145871508042,0.14723592868502866,-0.009597099288693699
cs45_v2084_v597_ss20,45,0.84,0.97,20,-0.03662548303151844,0.914226473560956,3.776761213494526,-0.0524907273760195,0.7786522858276602,-0.020790441466428007,-0.021345145871508042,0.14723592868502866,-0.009597099288693699
cs45_v2086_v595_ss0,45,0.86,0.95,0,-0.03662548303151844,0.967733294469306,3.7546311341169134,-0.0428936280873256,0.7676542851930459,-0.020790441466428007,0.032161675036841975,0.12510584930741597,2.0122792321330962e-16
cs45_v2086_v595_ss15,45,0.86,0.95,15,-0.03662548303151844,0.967733294469306,3.7546311341169134,-0.0428936280873256,0.7676542851930459,-0.020790441466428007,0.032161675036841975,0.12510584930741597,2.0122792321330962e-16
cs45_v2086_v595_ss20,45,0.86,0.95,20,-0.03662548303151844,0.967733294469306,3.7546311341169134,-0.0428936280873256,0.7676542851930459,-0.020790441466428007,0.032161675036841975,0.12510584930741597,2.0122792321330962e-16
cs45_v2086_v596_ss0,45,0.86,0.96,0,-0.03662548303151844,0.967733294469306,3.7546311341169134,-0.0428936280873256,0.7676542851930459,-0.020790441466428007,0.032161675036841975,0.12510584930741597,2.0122792321330962e-16
cs45_v2086_v596_ss15,45,0.86,0.96,15,-0.03662548303151844,0.967733294469306,3.7546311341169134,-0.0428936280873256,0.7676542851930459,-0.020790441466428007,0.032161675036841975,0.12510584930741597,2.0122792321330962e-16
cs45_v2086_v596_ss20,45,0.86,0.96,20,-0.03662548303151844,0.967733294469306,3.7546311341169134,-0.0428936280873256,0.7676542851930459,-0.020790441466428007,0.032161675036841975,0.12510584930741597,2.0122792321330962e-16
cs45_v2086_v597_ss0,45,0.86,0.97,0,-0.03662548303151844,0.967733294469306,3.7546311341169134,-0.0428936280873256,0.7676542851930459,-0.020790441466428007,0.032161675036841975,0.12510584930741597,2.0122792321330962e-16
