fold_id,case_type,feature,sample_count,case_mean,case_median,fold_mean,fold_median,fold_std,z_gap_vs_fold
2,false_positives,turnover_ratio_5d,98,0.08468499698010752,0.0388056910435583,0.05071081478237786,-0.004907288721548201,0.30955145001752205,0.10975294154108006
2,missed_winners,turnover_ratio_10d,98,0.2275485954671483,0.09888970139700534,0.12021615633603323,0.036533310031656,0.42194432576839697,0.2543758324884532
2,false_positives,turnover_ratio_10d,98,0.05188686611769245,-0.0423942386282117,0.12021615633603323,0.036533310031656,0.42194432576839697,-0.16193911387220875
2,missed_winners,amplitude_ratio_5d,98,0.05055581752608011,-0.041417609160082705,0.033518114162699446,-0.02676839166059285,0.38527619937641794,0.04422205002789361
2,false_positives,amplitude_ratio_5d,98,0.14935852681901585,0.094175502430427,0.033518114162699446,-0.02676839166059285,0.38527619937641794,0.30066848884983777
2,missed_winners,crowding_risk_5d,98,1.2663496871224083,1.015860748999243,1.282604966745938,1.0392000468297204,0.7887475971909074,-0.020608975141632527
2,false_positives,crowding_risk_5d,98,1.4118632692111786,1.1926261273443282,1.282604966745938,1.0392000468297204,0.7887475971909074,0.16387790330593552
2,missed_winners,crowding_reversal_risk_5d,98,0.2830103955859006,0.18040088496339904,0.5954540086042817,0.5222209744992508,0.4735077134912838,-0.6598490459947544
2,false_positives,crowding_reversal_risk_5d,98,0.7516164348938242,0.6679172825965828,0.5954540086042817,0.5222209744992508,0.4735077134912838,0.32979911802939865
2,missed_winners,distance_to_20d_high,98,-0.036890632616647476,-0.0284662565328707,-0.04567451362364551,-0.040173657625683604,0.04339426108205837,0.2024203382651856
2,false_positives,distance_to_20d_high,98,-0.08171758106139673,-0.058445600181568205,-0.04567451362364551,-0.040173657625683604,0.04339426108205837,-0.8305952570454864
2,missed_winners,rebound_from_10d_low,98,0.1277909275499135,0.1071110622369919,0.05961506293227948,0.0369812642722846,0.07526261063841587,0.905839752824564
2,false_positives,rebound_from_10d_low,98,0.1311938814249003,0.1205670986333203,0.05961506293227948,0.0369812642722846,0.07526261063841587,0.9510541540540882
2,missed_winners,volume_price_divergence_5d,98,0.12107142857142858,0.0733333333333333,-1.1842378929335003e-18,0.006666666666666651,0.32507567495037976,0.3724407511878863
2,false_positives,volume_price_divergence_5d,98,-0.04690476190476191,-0.0533333333333333,-1.1842378929335003e-18,0.006666666666666651,0.32507567495037976,-0.14428874726453017
3,missed_winners,ret_1d,97,0.0075936348798334805,0.0,0.0006368971461802167,-0.00130330935121455,0.02654499706026401,0.262073403807869
3,false_positives,ret_1d,97,-0.012362338538211576,-0.0094463395434268,0.0006368971461802167,-0.00130330935121455,0.02654499706026401,-0.4897056742888374
3,missed_winners,ret_3d,97,0.018102637067798136,0.0121674572076717,0.0017873062974673492,-0.0016630637766842501,0.04290833040187575,0.3802369054568844
3,false_positives,ret_3d,97,-0.020418245985554775,-0.0068124942070628,0.0017873062974673492,-0.0016630637766842501,0.04290833040187575,-0.5175114499922701
3,missed_winners,ret_5d,97,0.036265645989889884,0.0248901903367495,0.0020494743453107317,-0.003108019995653,0.05465098336226515,0.626085196267564
3,false_positives,ret_5d,97,-0.01911715404752845,-0.0033149171270718,0.0020494743453107317,-0.003108019995653,0.05465098336226515,-0.3873055357948801
3,missed_winners,intraday_return,97,0.0036525505061146073,-0.0013203331302051,0.0007155953093023652,-0.0014302356443309,0.02245381817535779,0.1307998120353285
3,false_positives,intraday_return,97,-0.006286294033732168,-0.0067875950848448,0.0007155953093023652,-0.0014302356443309,0.02245381817535779,-0.31183513148417846
3,missed_winners,volume_ratio_5d,97,-0.0025855227700327522,-0.0386283053440662,-0.01053503166272582,-0.06444620006022189,0.3036515730465759,0.026179705946966145
3,false_positives,volume_ratio_5d,97,0.017781070220588113,-0.017419910116235,-0.01053503166272582,-0.06444620006022189,0.3036515730465759,0.09325195189741578
3,missed_winners,turnover_rate,97,2.854372164948453,2.261,1.5496310666666668,1.0419,1.6163148623679486,0.807232011942464
3,false_positives,turnover_rate,97,2.758111340206186,1.9571,1.5496310666666668,1.0419,1.6163148623679486,0.7476762737732053
3,missed_winners,turnover_spike_5d,97,0.997414666031716,0.9613830990462868,0.9889955635086145,0.9353608256504671,0.3039532446878322,0.027698676261041902
3,false_positives,turnover_spike_5d,97,1.0177828716275967,0.9826274141209372,0.9889955635086145,0.9353608256504671,0.3039532446878322,0.09470965887713267
3,missed_winners,volatility_5d,97,0.042025223199306044,0.0382003157852749,0.02131994554951272,0.01620945160581915,0.01674718093142352,1.23634405901372
3,false_positives,volatility_5d,97,0.03915928449002167,0.0306294198676958,0.02131994554951272,0.01620945160581915,0.01674718093142352,1.0652144389887235
3,missed_winners,volatility_20d,97,0.035323373498945716,0.0335668833395744,0.022802931994138097,0.02023037191098705,0.013155605608341274,0.9517191285264032
3,false_positives,volatility_20d,97,0.03902743356583956,0.0335938312404407,0.022802931994138097,0.02023037191098705,0.013155605608341274,1.2332766772374484
3,missed_winners,rel_hs300_mean_ret_5d,97,0.03414898508871638,0.0227900228076848,6.217248937900877e-18,-0.006017904538130701,0.05315876664057203,0.6423961135067618
3,false_positives,rel_hs300_mean_ret_5d,97,-0.021233814948701957,-0.0099189295150109,6.217248937900877e-18,-0.006017904538130701,0.05315876664057203,-0.3994414522871156
3,missed_winners,close_position_20d,97,0.5950600534078342,0.6747382198952835,0.4013869820403933,0.34885185402142704,0.2829989170372074,0.6843597614968174
3,false_positives,close_position_20d,97,0.5052797038442274,0.438848920863286,0.4013869820403933,0.34885185402142704,0.2829989170372074,0.3671134960215227
3,missed_winners,overheat_score,97,0.5786124242743296,0.3604329748145883,0.372697975606342,0.164019503479265,0.521838338982836,0.39459432794714683
3,false_positives,overheat_score,97,0.4336800969052644,0.2116866156458501,0.372697975606342,0.164019503479265,0.521838338982836,0.11686017822643761
3,missed_winners,reversal_risk_score,97,0.6813017077619362,0.5985049039419003,0.4436307556895205,0.37765761809427645,0.3106584045975873,0.7650555998325035
3,false_positives,reversal_risk_score,97,0.6059833631949979,0.5430833333333334,0.4436307556895205,0.37765761809427645,0.3106584045975873,0.5226081287444374
3,missed_winners,volume_ratio_10d,97,0.025675311225778954,0.0149693046700158,-0.04692079654372543,-0.12662781609089385,0.38766618621652726,0.18726448256427636
3,false_positives,volume_ratio_10d,97,-0.020513587148186838,-0.1028860494631377,-0.04692079654372543,-0.12662781609089385,0.38766618621652726,0.06811842336125003
