fold_id,case_type,feature,sample_count,case_mean,case_median,fold_mean,fold_std,z_gap_vs_fold
1,pred_top5_not_true_top5,distance_to_20d_high,98,-0.12427686818385826,-0.0636945812807881,-0.07157883596634079,0.052151517494330744,-1.0104793637739522
1,top5_overlap,distance_to_20d_high,2,-0.07205685524599945,-0.07205685524599945,-0.07157883596634079,0.052151517494330744,-0.009165970668267088
1,true_top5_missed,distance_to_20d_high,98,-0.08612967212636327,-0.0796144905838782,-0.07157883596634079,0.052151517494330744,-0.27901079123161204
1,pred_top5_not_true_top5,rebound_from_10d_low,98,0.036843303582076235,0.020938693486480447,0.04090284268645204,0.04916854198272141,-0.08256374788990882
1,top5_overlap,rebound_from_10d_low,2,0.06149732620320855,0.06149732620320855,0.04090284268645204,0.04916854198272141,0.41885487521663206
1,true_top5_missed,rebound_from_10d_low,98,0.08496068001595554,0.062392168465196754,0.04090284268645204,0.04916854198272141,0.8960574292600767
3,pred_top5_not_true_top5,ret_1d,97,-0.012362338538211576,-0.0094463395434268,0.0006368971461802167,0.026544997060264024,-0.4897056742888371
3,top5_overlap,ret_1d,3,-0.04537175062211973,-0.0511508951406648,0.0006368971461802167,0.026544997060264024,-1.7332323550026545
3,true_top5_missed,ret_1d,97,0.0075936348798334805,0.0,0.0006368971461802167,0.026544997060264024,0.2620734038078688
3,pred_top5_not_true_top5,ret_3d,97,-0.020418245985554775,-0.0068124942070628,0.0017873062974673498,0.042908330401875854,-0.5175114499922688
3,top5_overlap,ret_3d,3,-0.04162101142209557,-0.0423394330821673,0.0017873062974673498,0.042908330401875854,-1.0116524533349174
3,true_top5_missed,ret_3d,97,0.018102637067798136,0.0121674572076717,0.0017873062974673498,0.042908330401875854,0.3802369054568835
3,pred_top5_not_true_top5,intraday_return,97,-0.006286294033732168,-0.0067875950848448,0.0007155953093023652,0.022453818175357805,-0.3118351314841783
3,top5_overlap,intraday_return,3,-0.026199947878765867,-0.0296425457715779,0.0007155953093023652,0.022453818175357805,-1.1987067401127793
3,true_top5_missed,intraday_return,97,0.0036525505061146073,-0.0013203331302051,0.0007155953093023652,0.022453818175357805,0.13079981203532842
3,pred_top5_not_true_top5,volume_ratio_5d,97,0.017781070220588113,-0.017419910116235,-0.010535031662725809,0.30365157304657603,0.09325195189741571
3,top5_overlap,volume_ratio_5d,3,0.11394527234527456,0.0683071371124572,-0.010535031662725809,0.30365157304657603,0.4099445386008482
3,true_top5_missed,volume_ratio_5d,97,-0.0025855227700327522,-0.0386283053440662,-0.010535031662725809,0.30365157304657603,0.026179705946966093
3,pred_top5_not_true_top5,volume_ratio_10d,97,-0.020513587148186838,-0.1028860494631377,-0.04692079654372543,0.38766618621652643,0.06811842336125018
3,top5_overlap,volume_ratio_10d,3,0.06674618169276314,-0.0184132862047696,-0.04692079654372543,0.38766618621652643,0.2932083897897693
3,true_top5_missed,volume_ratio_10d,97,0.025675311225778954,0.0149693046700158,-0.04692079654372543,0.38766618621652643,0.18726448256427677
3,pred_top5_not_true_top5,turnover_spike_5d,97,1.0177828716275967,0.9826274141209372,0.9889955635086147,0.30395324468783147,0.09470965887713216
3,top5_overlap,turnover_spike_5d,3,1.1139450542972849,1.0683031662126825,0.9889955635086147,0.30395324468783147,0.41108128625834134
3,true_top5_missed,turnover_spike_5d,97,0.997414666031716,0.9613830990462868,0.9889955635086147,0.30395324468783147,0.02769867626104124
3,pred_top5_not_true_top5,turnover_rate,97,2.758111340206186,1.9571,1.5496310666666668,1.6163148623679502,0.7476762737732046
3,top5_overlap,turnover_rate,3,6.1125333333333325,5.7498,1.5496310666666668,1.6163148623679502,2.823028094898463
3,true_top5_missed,turnover_rate,97,2.854372164948453,2.261,1.5496310666666668,1.6163148623679502,0.8072320119424632
3,pred_top5_not_true_top5,turnover_ratio_5d,97,0.0177828716282419,-0.0173725858775732,-0.011004436489976361,0.3039532446882453,0.09470965887449052
3,top5_overlap,turnover_ratio_5d,3,0.11394505429749935,0.0683031662128248,-0.011004436489976361,0.3039532446882453,0.41108128625385204
3,true_top5_missed,turnover_ratio_5d,97,-0.0025853339675899834,-0.0386169009533041,-0.011004436489976361,0.3039532446882453,0.02769867625865146
3,pred_top5_not_true_top5,turnover_ratio_10d,97,-0.020510620937393045,-0.1028743280847606,-0.04801795117019613,0.38801759664816887,0.07089196590675521
3,top5_overlap,turnover_ratio_10d,3,0.06674610540289293,-0.0184179251288103,-0.04801795117019613,0.38801759664816887,0.29577023713476125
3,true_top5_missed,turnover_ratio_10d,97,0.025664512508206595,0.014968976419966,-0.04801795117019613,0.38801759664816887,0.18989464476584955
3,pred_top5_not_true_top5,volatility_5d,97,0.03915928449002167,0.0306294198676958,0.021319945549512723,0.01674718093142352,1.0652144389887233
3,top5_overlap,volatility_5d,3,0.04052155715360877,0.0374191649115296,0.021319945549512723,0.01674718093142352,1.1465578405537595
3,true_top5_missed,volatility_5d,97,0.042025223199306044,0.0382003157852749,0.021319945549512723,0.01674718093142352,1.2363440590137198
3,pred_top5_not_true_top5,volatility_20d,97,0.03902743356583956,0.0335938312404407,0.022802931994138093,0.013155605608341288,1.2332766772374473
3,top5_overlap,volatility_20d,3,0.058873943285727835,0.062693709729749,0.022802931994138093,0.013155605608341288,2.7418738722844487
3,true_top5_missed,volatility_20d,97,0.035323373498945716,0.0335668833395744,0.022802931994138093,0.013155605608341288,0.9517191285264025
3,pred_top5_not_true_top5,amplitude_ratio_5d,97,-0.0040767004101632575,-0.0501379944802208,-0.00745445145627247,0.3652304695446864,0.009248272879094882
3,top5_overlap,amplitude_ratio_5d,3,-0.0631217486229533,-0.1016427104722793,-0.00745445145627247,0.3652304695446864,-0.1524169033215611
3,true_top5_missed,amplitude_ratio_5d,97,-0.0392863148205431,-0.0496760259179267,-0.00745445145627247,0.3652304695446864,-0.08715555250347469
