profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
swt_pure_prediction_risk_adjusted_mt055,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.55,60,0.13939094397714746,0.10247277353914086,0.002204240963737459,0.0016542409637374585,0.007376378453708994,0.007376378453708994,-0.037976621011062806,-0.04957045216406264,2.154852511461746,1.6171758686620326,0.5166666666666667,0.48333333333333334,5.0,5.0,0.013418182195692204,0.5499999999999999,1.6604774437986436,0.34093312267380277,0.03300000000000001,16,False,31,False
swt_pure_prediction_equal_mt065,replay_walk_forward_predictions,equal,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.65,60,0.14477745718044055,0.10107174815659148,0.0022922965101813387,0.001642296510181246,0.008553483092848256,0.008553483092848221,-0.049533654025282425,-0.06306405382824798,1.9325443252320236,1.384555090060344,0.5333333333333333,0.5,5.0,5.0,0.008282629131453178,0.6500000000000923,1.6468686045677496,0.407431039171067,0.03900000000000554,4,False,32,False
swt_pure_prediction_equal_mt070,replay_walk_forward_predictions,equal,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.7,60,0.14787391004958694,0.10074976125872404,0.0023419737334633263,0.0016419737334630235,0.00907667228278714,0.009076672282787074,-0.05398763151610886,-0.06848602345016275,1.8606172215350616,1.3044914048936258,0.55,0.5,5.0,5.0,0.006349547718289028,0.7000000000003033,1.6357780275954112,0.44274701410261774,0.0420000000000182,5,False,33,False
swt_pure_prediction_equal_mt060,replay_walk_forward_predictions,equal,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.6,60,0.14087352950397336,0.10060642095937977,0.002230844004653024,0.0016308440046530238,0.008016928741472362,0.008016928741472362,-0.04510641916110325,-0.0576581397107353,2.0066094400286953,1.4669187841576328,0.5333333333333333,0.5,5.0,5.0,0.0106780201526084,0.6,1.658102599223835,0.372807864623428,0.036000000000000004,3,False,34,False
swt_pure_prediction_pred_mt050,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.5,60,0.1336655040518595,0.10022055411401176,0.0021173294924819925,0.001617329492481993,0.006985139344070084,0.006985139344070084,-0.0362466716700085,-0.04681015217361739,2.1858232674132245,1.6696487005415044,0.5333333333333333,0.5,5.0,5.0,0.017300086787822248,0.5,1.6778084282609753,0.3062268324065101,0.030000000000000002,8,False,35,False
swt_pure_prediction_equal_mt075,replay_walk_forward_predictions,equal,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.75,60,0.15021376982760493,0.09969604531126786,0.0023806923761464814,0.0016306923761460854,0.009586885372094067,0.009586885372093868,-0.05846167973853611,-0.0739174100378841,1.7907189040328324,1.2265808442473891,0.55,0.4666666666666667,5.0,5.0,0.004781468393340231,0.7500000000003962,1.6248691121637178,0.4787940227558203,0.04500000000002378,6,False,36,False
swt_pure_prediction_risk_adjusted_mt050,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.5,60,0.13295919927966304,0.09953478263938864,0.002105751493860852,0.001605751493860852,0.006814500004376277,0.006814500004376277,-0.03385585768484645,-0.04444435592363205,2.228305812495224,1.6992059118204133,0.5166666666666667,0.48333333333333334,5.0,5.0,0.01718106803750178,0.5,1.672620218447167,0.30721990951103784,0.030000000000000002,15,False,37,False
swt_pure_prediction_equal_mt055,replay_walk_forward_predictions,equal,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.55,60,0.13610725144811742,0.09929371142894872,0.002156707792346479,0.001606707792346479,0.007466681219515594,0.007466681219515594,-0.040714160542620115,-0.052276491252737034,2.0828853684481934,1.5517114390397415,0.5333333333333333,0.5,5.0,5.0,0.013665472991124082,0.5499999999999999,1.6694300151977401,0.33884783530588203,0.03300000000000001,2,False,38,False
swt_pure_prediction_equal_mt050,replay_walk_forward_predictions,equal,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.5,60,0.1304149713438021,0.09706436299564225,0.0020688085964534956,0.0015688085964534952,0.0069024019582343225,0.0069024019582343225,-0.036367754863342316,-0.04692996844603814,2.1613332630491646,1.638971439254957,0.5333333333333333,0.5,5.0,5.0,0.017424141289644306,0.5,1.680775772908103,0.3055282439297604,0.030000000000000002,1,False,39,False
swt_pure_prediction_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,1.0,60,0.15887102124891705,0.09198052715115335,0.0025296283359035688,0.0015368702234657085,0.01183150638484877,0.011832057725749382,-0.07683872230984401,-0.09700917871462966,1.5417655835687643,0.9366526977603054,0.5,0.4666666666666667,5.0,5.0,8.036515897202889e-13,0.9927581124378599,1.5658730813443618,0.6621075131144833,0.0595654867462716,21,False,40,False
swt_pure_prediction_pred_mt100,replay_walk_forward_predictions,pred,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,1.0,60,0.15361821862002745,0.08698067723066405,0.002455605343665884,0.0014621357949247647,0.011987668569799909,0.011986768307264029,-0.08036932729005519,-0.10046611625189261,1.4771531140251566,0.8796041510367401,0.5166666666666667,0.48333333333333334,5.0,5.0,7.912170918444871e-13,0.9934695487411183,1.5760825117335826,0.6581710078696162,0.05960817292446711,14,False,41,False
swt_pure_prediction_equal_mt100,replay_walk_forward_predictions,equal,pure_prediction,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,1.0,60,0.1493466518382518,0.08298415005217241,0.002393002659117695,0.0014000368139069214,0.011933289305703584,0.01193295573040313,-0.08056087359383346,-0.10065366715181379,1.4460545736784702,0.8460442884603088,0.5166666666666667,0.4666666666666667,5.0,5.0,6.822116945433739e-13,0.9929658452107734,1.5786739437540585,0.6566598043822659,0.05957795071264639,7,False,42,False
