profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,primary_candidate_size,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
local_cs45_v2082_v596_rp22_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.22,0.001,0.6,60,0.15241741461827218,0.1117497348250096,0.0023947824351554224,0.0017947824351553776,0.007455937332238419,0.007455937332238429,-0.040592900002688004,-0.05398744601687766,2.316143625885638,1.7358461612262646,0.55,0.5166666666666667,5.0,5.0,0.01034152302426889,0.6000000000000447,1.6090951956706767,0.3832283936190625,0.03600000000000269,45,79,False,22,False
local_cs50_v2082_v596_rp22_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.22,0.001,0.6,60,0.15240773107612138,0.11174028453110796,0.002397226454799436,0.0017972264547993816,0.007796296619646745,0.007796296619646734,-0.044351441470994235,-0.057726574213728066,2.217289393504312,1.662325704763438,0.55,0.5166666666666667,5.0,5.0,0.010342352917436936,0.600000000000054,1.6022559635560072,0.38501013223620695,0.03600000000000324,50,399,False,23,False
local_cs50_v2082_v592_rp22_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.92,0.03,0.97,0.95,0.22,0.001,0.6,60,0.15240343696531933,0.11173613972628593,0.00239715783255693,0.0017971578325568756,0.007795470002504667,0.007795470002504658,-0.044346048050741715,-0.057706223364444864,2.2174610325964004,1.6624384965380206,0.55,0.5166666666666667,5.0,5.0,0.010342311165258113,0.6000000000000539,1.6022207977581184,0.38502003224330217,0.03600000000000324,50,359,False,24,False
local_cs45_v2082_v594_rp18_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.18,0.001,0.65,60,0.1555146191297736,0.11140589486784291,0.0024440370592729035,0.0017940370592727716,0.00803481949689532,0.00803481949689531,-0.04308860970393513,-0.05769047288112017,2.1934782579117544,1.6101152265561312,0.5333333333333333,0.5166666666666667,5.0,5.0,0.007971671655508801,0.6500000000001318,1.608754308938044,0.41638201330304814,0.0390000000000079,45,52,False,25,False
local_cs45_v2082_v596_rp18_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.18,0.001,0.65,60,0.1554455209654344,0.11133939101092771,0.002443042831445308,0.0017930428314451756,0.008035424596421495,0.008035424596421484,-0.04310338700566452,-0.05770853762227024,2.192420846274528,1.609101744482255,0.5333333333333333,0.5166666666666667,5.0,5.0,0.007971679322542866,0.6500000000001319,1.6087785901525709,0.4163746625211777,0.03900000000000792,45,72,False,26,False
local_cs55_v2082_v594_rp20_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.55,60,0.14760846130401828,0.11042843956882842,0.002323429398895999,0.0017734293988959993,0.0072491870431084975,0.0072491870431084975,-0.04037301376253899,-0.05258998205276877,2.3112229779210614,1.7641124702978932,0.5333333333333333,0.5166666666666667,5.0,5.0,0.013343222938147405,0.5499999999999999,1.618083854395929,0.3489463418608982,0.03300000000000001,55,694,False,27,False
local_cs55_v2082_v596_rp20_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.2,0.001,0.55,60,0.14756491480212208,0.11038628063531197,0.0023227985047025936,0.001772798504702594,0.007249601112329408,0.007249601112329408,-0.04038327426062682,-0.05260205770021509,2.3104634259208994,1.7633841671372372,0.5333333333333333,0.5166666666666667,5.0,5.0,0.01334325941820827,0.55,1.618102498281934,0.34894189240478024,0.03300000000000001,55,714,False,28,False
local_cs55_v2082_v592_rp20_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.92,0.03,0.97,0.95,0.2,0.001,0.55,60,0.14755383327517224,0.11037555240594132,0.002322632570709368,0.0017726325707093681,0.0072489562214180245,0.0072489562214180245,-0.04038567608551946,-0.05259273871073877,2.3105039048276086,1.7633759760794685,0.5333333333333333,0.5166666666666667,5.0,5.0,0.01334317977677803,0.5499999999999999,1.6180671005976701,0.3489505691648524,0.03300000000000001,55,674,False,29,False
local_cs55_v2082_v590_rp20_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.9,0.03,0.97,0.95,0.2,0.001,0.65,60,0.1539954317099006,0.10994369521692149,0.0024233119759414375,0.001773311975941325,0.008185272594905507,0.008185272594905547,-0.04857488488395156,-0.06315645279654591,2.1349015526107045,1.5622612888006306,0.55,0.5166666666666667,5.0,5.0,0.008029090937881277,0.6500000000001118,1.5927769249325328,0.41999521518478977,0.0390000000000067,55,656,False,30,False
local_cs50_v2082_v594_rp16_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.16,0.001,0.65,60,0.15392042890300073,0.10987157476173248,0.0024207289685576083,0.0017707289685574717,0.008004145226832854,0.008004145226832847,-0.04331647699435903,-0.05794852383873583,2.180885571859896,1.595286919502755,0.5333333333333333,0.5166666666666667,5.0,5.0,0.007998449784229093,0.6500000000001364,1.6101950554739706,0.41595626662079765,0.03900000000000818,50,368,False,31,False
