profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,primary_candidate_size,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
local_cs50_v2082_v596_rp22_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.22,0.001,0.65,60,0.15787854780913402,0.11368096180257714,0.002480506100407573,0.0018305061004074631,0.008316414427870608,0.008316414427870622,-0.04844658929052481,-0.0630164997751701,2.150828824534832,1.5872185452784453,0.55,0.5166666666666667,5.0,5.0,0.007986316609200695,0.6500000000001098,1.5879514625141458,0.42146451296944476,0.03900000000000658,50,400,False,11,False
local_cs50_v2082_v592_rp22_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.92,0.03,0.97,0.95,0.22,0.001,0.65,60,0.15787832427279502,0.11368074695402663,0.0024804960057856667,0.001830496005785557,0.008315578966380535,0.008315578966380549,-0.048442008753651566,-0.06299565608482927,2.151036163231011,1.5873692583703658,0.55,0.5166666666666667,5.0,5.0,0.00798671359408793,0.6500000000001094,1.5879302402993725,0.4214689072103232,0.039000000000006564,50,360,False,12,False
local_cs55_v2082_v594_rp20_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.6,60,0.15413908215618521,0.11341154381132523,0.002422181364671281,0.001822181364671226,0.007779756641180856,0.007779756641180848,-0.044453288765120225,-0.05785065762460895,2.245134266171609,1.68899070923119,0.55,0.5166666666666667,5.0,5.0,0.010389413761733711,0.600000000000055,1.603340190673776,0.384680798250735,0.03600000000000331,55,695,False,13,False
local_cs55_v2082_v596_rp20_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.2,0.001,0.6,60,0.15409181508784275,0.1133659172647179,0.0024215006303373848,0.0018215006303373298,0.007780205771097735,0.0077802057710977274,-0.04446296646437975,-0.05786229755267269,2.24437372046985,1.688262268169957,0.55,0.5166666666666667,5.0,5.0,0.010389429831592927,0.6000000000000552,1.6033595840047756,0.3846756116207126,0.036000000000003314,55,715,False,14,False
local_cs55_v2082_v592_rp20_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.92,0.03,0.97,0.95,0.2,0.001,0.6,60,0.15408170130309373,0.1133561547374553,0.002421349083280662,0.0018213490832806071,0.007779537255995794,0.007779537255995785,-0.0444662721448037,-0.05785277257406063,2.2444261112928263,1.6882668709443658,0.55,0.5166666666666667,5.0,5.0,0.010389393895453437,0.600000000000055,1.6033226287563012,0.3846858369379689,0.03600000000000331,55,675,False,15,False
local_cs55_v2082_v594_rp22_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.22,0.001,0.6,60,0.1528671618536297,0.11218383284464628,0.0024022328068449106,0.0018022328068448476,0.00757742923451337,0.007577429234513373,-0.044649327020897744,-0.057995723550467004,2.2860981719844062,1.7151048447421875,0.5666666666666667,0.5333333333333333,5.0,5.0,0.010389379133888607,0.6000000000000637,1.5988255228238595,0.3859167619472001,0.036000000000003814,55,699,False,16,False
local_cs55_v2082_v596_rp22_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.22,0.001,0.6,60,0.15281983027629376,0.11213814405520384,0.002401550403744877,0.001801550403744813,0.007577891322730351,0.0075778913227303535,-0.04465903795827175,-0.058007381237693334,2.285309396121968,1.7143508871790953,0.5666666666666667,0.5333333333333333,5.0,5.0,0.010389395182228808,0.6000000000000636,1.5988446210920493,0.3859116577732285,0.03600000000000382,55,719,False,17,False
local_cs55_v2082_v592_rp22_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.92,0.03,0.97,0.95,0.22,0.001,0.6,60,0.15280979888858104,0.11212846107114527,0.002401399875273737,0.0018013998752736736,0.007577202720300622,0.007577202720300625,-0.04466230738131072,-0.05799784136012087,2.2853738253551095,1.7143634287393,0.5666666666666667,0.5333333333333333,5.0,5.0,0.010389359278610939,0.6000000000000637,1.5988083844174514,0.3859217120714894,0.036000000000003814,55,679,False,18,False
local_cs45_v2082_v594_rp22_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.22,0.001,0.6,60,0.15247968440435633,0.11180984332065025,0.0023956809127015097,0.001795680912701465,0.007455372969792322,0.0074553729697923316,-0.04057886088063678,-0.053970354333205295,2.3171879945896996,1.7368466021351716,0.55,0.5166666666666667,5.0,5.0,0.01034150313254962,0.6000000000000448,1.609071066869239,0.38323482394383446,0.036000000000002676,45,59,False,19,False
local_cs50_v2082_v594_rp22_mt60,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.22,0.001,0.6,60,0.15246218626488028,0.11179284966035063,0.0023980121049901374,0.001798012104990084,0.007795813966053729,0.007795813966053719,-0.044339283164064214,-0.05771181076492393,2.2181533939558573,1.6631553463629734,0.55,0.5166666666666667,5.0,5.0,0.010342335454691026,0.6000000000000537,1.6022334368324307,0.38501603042199783,0.03600000000000323,50,379,False,20,False
