profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,candidate_size,vol20_pct,vol5_pct,risk_penalty,rank_ic_mean,top5_mean_return_mean
lstm_exec_cs50_v2084_v598_rp20_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.84,0.98,0.03,0.97,0.95,0.2,0.001,0.8,60,0.5926738246149523,0.5246361068754892,0.007941921320697617,0.007208823630152236,0.01775401872668899,0.01774449647743291,-0.04463897262837202,-0.04910570275427362,3.225749053022001,2.929559964391907,0.6,0.5833333333333334,5.0,5.0,0.0034824490228963206,0.7330976905453817,1.1265373971007837,0.7315273756946461,0.04398586143272292,50,0.84,0.98,0.2,0.00858413563307822,0.017534048047474538
lstm_exec_cs50_v2084_v599_rp20_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.84,0.99,0.03,0.97,0.95,0.2,0.001,0.8,60,0.5926738246149523,0.5246361068754892,0.007941921320697617,0.007208823630152236,0.01775401872668899,0.01774449647743291,-0.04463897262837202,-0.04910570275427362,3.225749053022001,2.929559964391907,0.6,0.5833333333333334,5.0,5.0,0.0034824490228963206,0.7330976905453817,1.1265373971007837,0.7315273756946461,0.04398586143272292,50,0.84,0.99,0.2,0.00858413563307822,0.017534048047474538
lstm_exec_cs45_v2086_v598_rp20_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.98,0.03,0.97,0.95,0.2,0.001,0.8,60,0.5923865238180399,0.5242684425870487,0.00794338474443571,0.007209317264900864,0.018003869220790555,0.017997130589264845,-0.04463897262837202,-0.04910570275427362,3.1815695443652823,2.888634155401732,0.5833333333333334,0.5666666666666667,5.0,5.0,0.0034824490229043103,0.7340674795348449,1.1157320314252954,0.7346432160209411,0.04404404877209071,45,0.86,0.98,0.2,0.00858413563307822,0.017534048047474538
lstm_exec_cs45_v2086_v599_rp20_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.99,0.03,0.97,0.95,0.2,0.001,0.8,60,0.5923865238180399,0.5242684425870487,0.00794338474443571,0.007209317264900864,0.018003869220790555,0.017997130589264845,-0.04463897262837202,-0.04910570275427362,3.1815695443652823,2.888634155401732,0.5833333333333334,0.5666666666666667,5.0,5.0,0.0034824490229043103,0.7340674795348449,1.1157320314252954,0.7346432160209411,0.04404404877209071,45,0.86,0.99,0.2,0.00858413563307822,0.017534048047474538
lstm_exec_cs45_v2080_v596_rp15_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.8,0.96,0.03,0.97,0.95,0.15,0.001,0.8,60,0.5888060538660698,0.5235299645524814,0.007893687367662964,0.007188918354755897,0.017264456578272316,0.017236320519076993,-0.04113709694867784,-0.04533974760726711,3.297073896019417,3.007604054996377,0.6,0.5833333333333334,5.0,5.0,0.0033333333336136067,0.7047690129070677,1.0959676444350275,0.7385269826213781,0.04228614077442408,45,0.8,0.96,0.15,0.00858413563307822,0.017534048047474538
lstm_exec_cs45_v2080_v598_rp15_mt82,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.8,0.98,0.03,0.97,0.95,0.15,0.001,0.82,60,0.5890544128926678,0.5227216465671911,0.007900692473365148,0.007184359538180523,0.01752219670208902,0.01749232264064209,-0.041249626379197935,-0.04544674065752208,3.2514589704376813,2.961708085133721,0.6,0.5833333333333334,5.0,5.0,0.003000000000000019,0.7163329351846249,1.089693007847849,0.7515563465786369,0.042979976111077504,45,0.8,0.98,0.15,0.00858413563307822,0.017534048047474538
lstm_exec_cs45_v2080_v599_rp15_mt82,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.8,0.99,0.03,0.97,0.95,0.15,0.001,0.82,60,0.5890544128926678,0.5227216465671911,0.007900692473365148,0.007184359538180523,0.01752219670208902,0.01749232264064209,-0.041249626379197935,-0.04544674065752208,3.2514589704376813,2.961708085133721,0.6,0.5833333333333334,5.0,5.0,0.003000000000000019,0.7163329351846249,1.089693007847849,0.7515563465786369,0.042979976111077504,45,0.8,0.99,0.15,0.00858413563307822,0.017534048047474538
lstm_exec_cs45_v2086_v596_rp20_mt76,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.96,0.03,0.97,0.95,0.2,0.001,0.76,60,0.5875336762151138,0.5223780713130344,0.007888858841189738,0.007185265254944586,0.01782100370237663,0.017816636572895776,-0.04394412570504369,-0.04824874317517913,3.1921529821593317,2.9081630753948575,0.5833333333333334,0.5666666666666667,5.0,5.0,0.004404879228627364,0.7035935862451499,1.118849025224688,0.7062331463798928,0.042215615174708995,45,0.86,0.96,0.2,0.00858413563307822,0.017534048047474538
lstm_exec_cs50_v2080_v596_rp15_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.8,0.96,0.03,0.97,0.95,0.15,0.001,0.8,60,0.5880738281140776,0.522231639805484,0.007887353722939616,0.007176241004049644,0.017350245939719153,0.017334647693819854,-0.04113709694867784,-0.04533974760726711,3.278138923746104,2.9852703512875975,0.6,0.5833333333333334,5.0,5.0,0.003333333333624074,0.7111127188899722,1.08999998946404,0.7465421270144643,0.04266676313339835,50,0.8,0.96,0.15,0.00858413563307822,0.017534048047474538
lstm_exec_cs50_v2080_v596_rp10_mt76,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.8,0.96,0.03,0.97,0.95,0.1,0.001,0.76,60,0.5838204770510114,0.5210226221389498,0.007831951505367475,0.007152357660473805,0.01672887000742588,0.016702574338378906,-0.04018647091051153,-0.044354241137185335,3.376020344113482,3.087930251091925,0.6,0.6,5.0,5.0,0.004000000000170963,0.6795938448936697,1.1101094965749412,0.7078800040274505,0.040775630693620175,50,0.8,0.96,0.1,0.00858413563307822,0.017534048047474538
