profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,risk_penalty,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-05,600309,0.20513557754711395,0.17184346332801498,0.558264,0.0298584966896014,0.9403947368421053,0.5960526315789474,0.0179032906906864,0.0090670468815965,0.8355,0.0316980106936022,0.2043010752688172
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-05,600009,0.19865843116634183,0.0926925997228376,0.54063684,-0.0039743197798839,0.9030263157894736,0.443421052631579,0.020087117694403,0.0080512221173368,0.5739,-0.3295169110345231,-0.5476190476190476
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-05,000977,0.19854351402942794,0.09263898021063911,0.5403241,0.0203000882612534,0.8636842105263157,0.5736842105263158,0.021689801590027,0.0127427008483811,2.8536,-0.1322698550742266,-0.2632386799693016
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-05,603799,0.19842197907056672,0.09258227287016575,0.53999335,0.0886469673405908,0.8282894736842106,0.6644736842105263,0.0236631107314243,0.0221609648019584,3.6375,-0.03849457988491,-0.2218379446640316
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-06,600009,0.20182546530241244,0.14662293050902686,0.5416497,-0.0078764010905786,0.9459375,0.540625,0.0201199066397305,0.0095627959702141,0.5914,-0.2007244026381229,-0.0733590733590733
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-06,000651,0.20000564433461035,0.1014838056928164,0.53676575,-0.005389514943655,0.9159375,0.21562499999999998,0.0054367468595306,0.0081109772570465,0.717,0.0809262497738649,-0.5462478184991273
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-06,000977,0.200922274885497,0.1461494774327193,0.53922576,0.0435803374908291,0.89765625,0.7109375,0.0216565615885664,0.0123797234111915,4.0684,0.168110391083267,0.0944881889763777
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-06,600015,0.19912145343061952,0.09840010883165086,0.5343928,-0.0159651669085631,0.87609375,0.3015625,0.0068905445512877,0.0062463307090098,0.2938,0.190485838162,-0.0045766590389015
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-06,601939,0.19812516204686065,0.0979077702166956,0.531719,-0.0010940919037199,0.825625,0.49374999999999997,0.0100312443303668,0.011790111165883,0.8807,0.1499340619165132,-0.2334905660377356
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-07,601868,0.1997449223621589,0.13190060012710084,0.5399772,0.0338983050847457,0.9528125,0.15937500000000002,0.0075452633098554,0.0038061205364569,0.5354,-0.1234016078065391,-0.1748526522593321
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-07,000977,0.20414654305731683,0.18444756116385552,0.55187625,0.0115641215715344,0.9321875,0.6781250000000001,0.0215323536760443,0.0130105356372361,3.2022,-0.0084809526905893,0.0592160133444537
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-07,300408,0.19880952178380634,0.1312829128478205,0.5374485,0.0530629853321828,0.86609375,0.7140625,0.0224757766935034,0.0144894439883937,0.9683,-0.0981400244022838,0.1111111111111107
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-07,600009,0.1986810322868748,0.18099924798820738,0.53710115,-0.0091407678244972,0.85703125,0.49218750000000006,0.0200659090230104,0.0094720522566823,0.5549,-0.1731485620622859,-0.3741403026134799
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-07,000651,0.19861798050984306,0.16562589150757825,0.5369307,-0.0029680930002474,0.843125,0.31875000000000003,0.0057359838468129,0.0092238249712436,0.7681,0.1338440872119628,-0.1139240506329114
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-08,002459,0.20736564086808587,0.084292569833204,0.5748185,-0.0398009950248756,0.9122857142857143,0.8771428571428571,0.0168582975257489,0.0169972733797477,1.8179,0.3265469935785174,0.5162200282087448
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-08,600905,0.19744489957637334,0.08025986328342029,0.54731816,0.0048426150121065,0.8972857142857142,0.16999999999999998,0.0034015598934799,0.0050620755134611,0.1942,-0.1605792089907067,-0.0977443609022549
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-08,601877,0.20106219883369236,0.08173026816331612,0.55734533,-0.0016835016835016,0.8925714285714286,0.7885714285714287,0.0145263520642254,0.0125252407943943,1.7136,0.6620272930952544,0.2236286919831223
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-08,002415,0.19754606824148252,0.08030098758314973,0.5475986,0.0423615743829219,0.8898571428571428,0.53,0.0098829135150882,0.0087559440654069,0.4457,0.0240797757455999,-0.072
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-08,000876,0.19658119248036587,0.08938822287994609,0.54492396,-0.0334412081984897,0.8014285714285715,0.27142857142857146,0.0066850496298123,0.0069008412957363,0.416,-0.1320857065364794,-0.2369477911646587
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-09,002415,0.20071046126963407,0.13267006575365414,0.54709846,0.0301639344262294,0.9354411764705882,0.6455882352941177,0.0100540076551102,0.0092447726865984,0.5152,0.1399995574535881,0.0060514372163391
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-09,600161,0.2005894109859237,0.08724132929480946,0.5467685,0.0017574692442882,0.9060294117647059,0.6455882352941177,0.0125960074100447,0.0086176704321202,0.5194,0.1545814253323256,-0.1223733003708281
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-09,002049,0.20003874885763748,0.08700183262433282,0.5452675,0.1672376601954067,0.8922058823529412,0.48970588235294116,0.0137932412889008,0.0,2.7733,-0.0294561272734272,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-09,601800,0.1996411531915663,0.08682890836946107,0.54418373,0.0036014405762304,0.885,0.2676470588235294,0.0060925782267094,0.0036769948984812,0.2011,0.1157964822726516,-0.2720970537261695
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-09,688009,0.19902022569523833,0.08655885154089223,0.5424912,-0.0269299820466786,0.8298529411764706,0.525,0.0074912735738987,0.0065765514542008,0.4,0.1573404316879811,0.4161392405063286
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-12,002049,0.2008210537167729,0.14213633026020706,0.5506471,0.07867021951529,0.9195,0.4716666666666667,0.0131585631744578,0.0,2.7733,-0.0252226666572936,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-12,300347,0.20544895213527792,0.09952031526024636,0.5633367,-0.0031173092698933,0.917,0.8300000000000001,0.0188012137305384,0.0123460904674268,2.0413,0.0743910398113645,0.1778523489932886
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-12,002493,0.1984919329832636,0.09615030664212428,0.5442607,0.0078809106830121,0.8623333333333334,0.71,0.0260853127334612,0.0227121349254539,0.6748,-0.1004345855440317,-0.227976766698935
