profile_name,fold_id,date,day_rank_ic,candidate_count,prediction_mean,prediction_std,target_mean,target_std,avg_volatility_20d,avg_volatility_5d,avg_turnover_rate,avg_turnover_ratio_10d,avg_amplitude_ratio_5d,selected_count,selected_pred_return_mean,selected_target_return_mean,selected_weighted_target_return,selected_volatility_20d_mean,selected_volatility_5d_mean,selected_turnover_rate_mean,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_after_secondary_screen,filter_fallback_used,sequence_length,risk_penalty_weight,sort_strategy,primary_candidate_size
sl20__pure_prediction__cs120__rp-20,2,2026-01-07,-0.11239527638174039,300,0.5326069059666666,0.03803290660346306,0.013646290137306491,0.05472992216133571,0.01766223918884031,0.018663148699987368,1.673163,0.28693228029399115,0.008610684912580248,5,0.597654568,0.022939436355876704,0.02292306508529626,0.01991525389103154,0.0144719282130929,2.3472,300,120,93,93,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,2,2026-01-08,0.12158859719404076,300,0.5328093492333333,0.036338732387883,0.006700512973278615,0.056473702509086905,0.017594093301295535,0.019257467547799213,1.5588703333333334,0.173583561856679,-0.006849595030264683,5,0.5963137919999999,-0.00637315094682048,-0.0059194213453732875,0.02250727994736754,0.022076108249682442,2.6580999999999997,300,120,89,89,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,2,2026-01-09,0.25169079656440624,300,0.5328865816,0.033456008175597185,0.0018753579772047054,0.04092226045993542,0.017784150042490243,0.01934484995785179,1.7037423333333335,0.17870055672241303,-0.06425588023188808,5,0.594898824,0.019388533611134802,0.01933011069066387,0.02126947165792338,0.01876487874629458,2.3706199999999997,300,120,88,88,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,2,2026-01-12,0.23890309892332134,300,0.5333339779333333,0.038670322292736925,-0.018657533685445,0.050324892334204445,0.018250626304336742,0.019351185813530285,2.0603670000000003,0.30428674335859474,0.05062218207509814,5,0.5995143300000001,0.02386563341466722,0.02356723981620333,0.022679735942363256,0.019658109110225197,1.3755799999999998,300,120,88,88,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,2,2026-01-13,0.25441441065061,300,0.5366382672333333,0.03923607376994816,-0.004395125981814247,0.0469726536181675,0.018728163496568105,0.019725689935242697,2.1321353333333333,0.2853487142150416,0.2225758525387601,5,0.609452646,0.019526687461824198,0.0192300603895715,0.0255316761300776,0.025276531871688955,3.43522,300,120,82,82,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,2,2026-01-14,0.08516276188081237,300,0.5376690311000001,0.039857221089287465,0.000689475735503698,0.053804670600721416,0.01884733226581695,0.01982112302677923,2.3264946666666666,0.3621885931491866,0.19659840658059366,5,0.611937788,0.033359878332477735,0.032388297111473334,0.02447840194558386,0.015349024730155342,2.1938,300,120,94,94,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,2,2026-01-15,0.048474760830675895,300,0.5257420151333334,0.04007080162066557,-0.0002406590533623106,0.05452198328962074,0.018810337115066224,0.020381100422781424,1.7129423333333333,-0.04150582189852655,-0.07552856837338107,5,0.602238598,0.03589567338073195,0.035349911548317264,0.02281440363712266,0.01545682948949712,2.30758,300,120,91,91,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,2,2026-01-16,0.14118634001839012,300,0.5268639436,0.043235072650880176,0.011544894959834077,0.05244919895588756,0.01895212818851173,0.021295491007055866,2.005335,0.11734967461368648,0.07004627801244673,5,0.6097743359999999,0.0498161244132697,0.049215109999222614,0.02485013226554226,0.01641401687052556,2.1402200000000002,300,120,87,87,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,2,2026-01-19,0.28341838616804593,300,0.5152098096333333,0.04375168511678974,0.006515658793537827,0.04587085140467256,0.01909659716485107,0.019623641968975137,1.688964666666667,-0.08906878198873845,-0.1305784810123431,5,0.594303702,-0.00704567479046068,-0.006977433731248226,0.02573513505558076,0.02341115600564776,1.6425,300,120,80,80,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,2,2026-01-20,0.3329191055888966,300,0.5190464045666666,0.047950058456318626,0.005324091186563893,0.04511086374578873,0.019622135188547024,0.019701530379651236,1.7147303333333335,-0.013672657341156068,0.00261817054701194,5,0.608098092,0.01756159398232494,0.017649350808624394,0.026394905403902897,0.0208455243912989,2.1271,300,120,77,77,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,2,2026-01-21,0.1319230923082232,300,0.5141029013666667,0.04403852181264262,0.00010589562770044414,0.049270440759856066,0.019813902950445984,0.01938185002944623,1.6388333333333334,-0.051607979922884864,-0.06255886172598525,5,0.59187418,0.0313025529900563,0.031052105296995224,0.021878210196732258,0.02472761485835368,1.43148,300,120,82,82,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,2,2026-01-22,0.15233570954518585,300,0.5130868457333334,0.045513857931224984,-0.001039625964687462,0.057921724491271726,0.02000805258196868,0.019917930734574523,1.6741736666666667,-0.04141233039301675,-0.06173200569120881,5,0.60333265,0.020127084436446518,0.02095172649147907,0.02466783347658536,0.023301453911181318,1.54,300,120,80,80,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,3,2026-01-23,0.01887756405912793,300,0.5113329837333334,0.02594347875816898,-0.004986571900884084,0.05069082905339421,0.020519223861579637,0.020486671648808626,1.927482,0.06691712317824385,-0.04069281877585465,5,0.577068914,0.012390321938602919,0.012802475699228787,0.02516835240438688,0.026385839334391602,2.2763800000000005,300,120,102,102,0,20,-0.2,pure_prediction,120
sl20__pure_prediction__cs120__rp-20,3,2026-01-26,0.03224237616106019,300,0.5130096837,0.025041272350441478,-0.0163249885148666,0.043279857688616155,0.021211020994582087,0.02139597665381875,2.043633,0.21429554483819624,0.17477457075459718,5,0.5741952020000001,-0.0199743782028777,-0.019484568852615916,0.026444068256390996,0.030878602671428796,2.8174599999999996,300,120,92,92,0,20,-0.2,pure_prediction,120
